Any["format1_base1_0.jl", 0.23663613771164024, Any[(f1 = 0.22797927461139894, errors = 68, changed = 283, cleaned = 0, precision = 0.16624685138539042, recall = 0.3626373626373626, imputed = 114, correctly_imputed = 66), (f1 = 0.2405498281786942, errors = 68, changed = 286, cleaned = 0, precision = 0.175, recall = 0.38461538461538464, imputed = 114, correctly_imputed = 70), (f1 = 0.24137931034482762, errors = 68, changed = 284, cleaned = 0, precision = 0.17587939698492464, recall = 0.38461538461538464, imputed = 114, correctly_imputed = 70)]]
Any["format1_base1_1.jl", 0.25050114547537233, Any[(f1 = 0.2714776632302406, errors = 68, changed = 286, cleaned = 0, precision = 0.1975, recall = 0.4340659340659341, imputed = 114, correctly_imputed = 79), (f1 = 0.2508591065292097, errors = 68, changed = 286, cleaned = 0, precision = 0.1825, recall = 0.4010989010989011, imputed = 114, correctly_imputed = 73), (f1 = 0.22916666666666669, errors = 68, changed = 280, cleaned = 0, precision = 0.16751269035532995, recall = 0.3626373626373626, imputed = 114, correctly_imputed = 66)]]
Any["format1_base1_2.jl", 0.24627820347700138, Any[(f1 = 0.24100719424460432, errors = 68, changed = 260, cleaned = 0, precision = 0.17914438502673796, recall = 0.36813186813186816, imputed = 114, correctly_imputed = 67), (f1 = 0.2640144665461121, errors = 68, changed = 257, cleaned = 0, precision = 0.1967654986522911, recall = 0.4010989010989011, imputed = 114, correctly_imputed = 73), (f1 = 0.2338129496402878, errors = 68, changed = 260, cleaned = 0, precision = 0.17379679144385027, recall = 0.35714285714285715, imputed = 114, correctly_imputed = 65)]]
Any["format1_base1_3.jl", 0.25272718569768265, Any[(f1 = 0.24820143884892085, errors = 68, changed = 260, cleaned = 0, precision = 0.18449197860962566, recall = 0.3791208791208791, imputed = 114, correctly_imputed = 69), (f1 = 0.24548736462093865, errors = 68, changed = 258, cleaned = 0, precision = 0.1827956989247312, recall = 0.37362637362637363, imputed = 114, correctly_imputed = 68), (f1 = 0.2644927536231884, errors = 68, changed = 256, cleaned = 0, precision = 0.1972972972972973, recall = 0.4010989010989011, imputed = 114, correctly_imputed = 73)]]
Any["format1_original.jl", 0.24362391809926773, Any[(f1 = 0.25817555938037867, errors = 68, changed = 285, cleaned = 0, precision = 0.18796992481203006, recall = 0.41208791208791207, imputed = 114, correctly_imputed = 75), (f1 = 0.2218370883882149, errors = 68, changed = 281, cleaned = 0, precision = 0.1620253164556962, recall = 0.3516483516483517, imputed = 114, correctly_imputed = 64), (f1 = 0.2508591065292097, errors = 68, changed = 286, cleaned = 0, precision = 0.1825, recall = 0.4010989010989011, imputed = 114, correctly_imputed = 73)]]
Any["format2_base1_0.jl", 0.2508591065292097, Any[(f1 = 0.2508591065292097, errors = 68, changed = 286, cleaned = 0, precision = 0.1825, recall = 0.4010989010989011, imputed = 114, correctly_imputed = 73), (f1 = 0.2508591065292097, errors = 68, changed = 286, cleaned = 0, precision = 0.1825, recall = 0.4010989010989011, imputed = 114, correctly_imputed = 73), (f1 = 0.2508591065292097, errors = 68, changed = 286, cleaned = 0, precision = 0.1825, recall = 0.4010989010989011, imputed = 114, correctly_imputed = 73)]]
Any["format2_base1_1.jl", 0.2508591065292097, Any[(f1 = 0.2508591065292097, errors = 68, changed = 286, cleaned = 0, precision = 0.1825, recall = 0.4010989010989011, imputed = 114, correctly_imputed = 73), (f1 = 0.2508591065292097, errors = 68, changed = 286, cleaned = 0, precision = 0.1825, recall = 0.4010989010989011, imputed = 114, correctly_imputed = 73), (f1 = 0.2508591065292097, errors = 68, changed = 286, cleaned = 0, precision = 0.1825, recall = 0.4010989010989011, imputed = 114, correctly_imputed = 73)]]
Any["format2_base1_2.jl", 0.2508591065292097, Any[(f1 = 0.2508591065292097, errors = 68, changed = 286, cleaned = 0, precision = 0.1825, recall = 0.4010989010989011, imputed = 114, correctly_imputed = 73), (f1 = 0.2508591065292097, errors = 68, changed = 286, cleaned = 0, precision = 0.1825, recall = 0.4010989010989011, imputed = 114, correctly_imputed = 73), (f1 = 0.2508591065292097, errors = 68, changed = 286, cleaned = 0, precision = 0.1825, recall = 0.4010989010989011, imputed = 114, correctly_imputed = 73)]]
Any["format2_base1_3.jl", 0.2508591065292097, Any[(f1 = 0.2508591065292097, errors = 68, changed = 286, cleaned = 0, precision = 0.1825, recall = 0.4010989010989011, imputed = 114, correctly_imputed = 73), (f1 = 0.2508591065292097, errors = 68, changed = 286, cleaned = 0, precision = 0.1825, recall = 0.4010989010989011, imputed = 114, correctly_imputed = 73), (f1 = 0.2508591065292097, errors = 68, changed = 286, cleaned = 0, precision = 0.1825, recall = 0.4010989010989011, imputed = 114, correctly_imputed = 73)]]
Any["format2_original.jl", 0.2508591065292097, Any[(f1 = 0.2508591065292097, errors = 68, changed = 286, cleaned = 0, precision = 0.1825, recall = 0.4010989010989011, imputed = 114, correctly_imputed = 73), (f1 = 0.2508591065292097, errors = 68, changed = 286, cleaned = 0, precision = 0.1825, recall = 0.4010989010989011, imputed = 114, correctly_imputed = 73), (f1 = 0.2508591065292097, errors = 68, changed = 286, cleaned = 0, precision = 0.1825, recall = 0.4010989010989011, imputed = 114, correctly_imputed = 73)]]
