Any["format1_base1_0.jl", 0.24952041630403246, Any[(f1 = 0.2520833333333333, errors = 354, changed = 818, cleaned = 1, precision = 0.20302013422818793, recall = 0.3324175824175824, imputed = 374, correctly_imputed = 241), (f1 = 0.24751958224543083, errors = 354, changed = 813, cleaned = 1, precision = 0.1996630160067397, recall = 0.32554945054945056, imputed = 374, correctly_imputed = 236), (f1 = 0.24895833333333334, errors = 354, changed = 818, cleaned = 4, precision = 0.200503355704698, recall = 0.3282967032967033, imputed = 374, correctly_imputed = 235)]]
Any["format1_base1_1.jl", 0.2507783163017933, Any[(f1 = 0.2548101924076963, errors = 354, changed = 821, cleaned = 1, precision = 0.20502092050209206, recall = 0.33653846153846156, imputed = 374, correctly_imputed = 244), (f1 = 0.25494276795005205, errors = 354, changed = 820, cleaned = 3, precision = 0.2051926298157454, recall = 0.33653846153846156, imputed = 374, correctly_imputed = 242), (f1 = 0.24258198854763147, errors = 354, changed = 819, cleaned = 1, precision = 0.1953059513830679, recall = 0.32005494505494503, imputed = 374, correctly_imputed = 232)]]
Any["format1_base1_2.jl", 0.29372970945272564, Any[(f1 = 0.306368330464716, errors = 354, changed = 641, cleaned = 9, precision = 0.2630541871921182, recall = 0.36675824175824173, imputed = 374, correctly_imputed = 258), (f1 = 0.2821100917431193, errors = 354, changed = 642, cleaned = 5, precision = 0.2421259842519685, recall = 0.33791208791208793, imputed = 374, correctly_imputed = 241), (f1 = 0.29271070615034167, errors = 354, changed = 654, cleaned = 10, precision = 0.25, recall = 0.35302197802197804, imputed = 374, correctly_imputed = 247)]]
Any["format1_base1_3.jl", 0.2960815373068552, Any[(f1 = 0.28034188034188035, errors = 354, changed = 653, cleaned = 5, precision = 0.2395326192794547, recall = 0.33791208791208793, imputed = 374, correctly_imputed = 241), (f1 = 0.30091533180778035, errors = 354, changed = 646, cleaned = 9, precision = 0.257843137254902, recall = 0.36126373626373626, imputed = 374, correctly_imputed = 254), (f1 = 0.3069873997709049, errors = 354, changed = 644, cleaned = 8, precision = 0.2632612966601179, recall = 0.36813186813186816, imputed = 374, correctly_imputed = 260)]]
Any["format1_original.jl", 0.2555642897863805, Any[(f1 = 0.26055237102657636, errors = 354, changed = 817, cleaned = 0, precision = 0.20990764063811923, recall = 0.3434065934065934, imputed = 374, correctly_imputed = 250), (f1 = 0.24831168831168832, errors = 354, changed = 823, cleaned = 0, precision = 0.1996658312447786, recall = 0.3282967032967033, imputed = 374, correctly_imputed = 239), (f1 = 0.2578288100208768, errors = 354, changed = 814, cleaned = 1, precision = 0.2079124579124579, recall = 0.3392857142857143, imputed = 374, correctly_imputed = 246)]]
Any["format2_base1_0.jl", 0.2578288100208768, Any[(f1 = 0.2578288100208768, errors = 354, changed = 814, cleaned = 1, precision = 0.2079124579124579, recall = 0.3392857142857143, imputed = 374, correctly_imputed = 246), (f1 = 0.2578288100208768, errors = 354, changed = 814, cleaned = 1, precision = 0.2079124579124579, recall = 0.3392857142857143, imputed = 374, correctly_imputed = 246), (f1 = 0.2578288100208768, errors = 354, changed = 814, cleaned = 1, precision = 0.2079124579124579, recall = 0.3392857142857143, imputed = 374, correctly_imputed = 246)]]
Any["format2_base1_1.jl", 0.2578288100208768, Any[(f1 = 0.2578288100208768, errors = 354, changed = 814, cleaned = 1, precision = 0.2079124579124579, recall = 0.3392857142857143, imputed = 374, correctly_imputed = 246), (f1 = 0.2578288100208768, errors = 354, changed = 814, cleaned = 1, precision = 0.2079124579124579, recall = 0.3392857142857143, imputed = 374, correctly_imputed = 246), (f1 = 0.2578288100208768, errors = 354, changed = 814, cleaned = 1, precision = 0.2079124579124579, recall = 0.3392857142857143, imputed = 374, correctly_imputed = 246)]]
Any["format2_base1_2.jl", 0.2578288100208768, Any[(f1 = 0.2578288100208768, errors = 354, changed = 814, cleaned = 1, precision = 0.2079124579124579, recall = 0.3392857142857143, imputed = 374, correctly_imputed = 246), (f1 = 0.2578288100208768, errors = 354, changed = 814, cleaned = 1, precision = 0.2079124579124579, recall = 0.3392857142857143, imputed = 374, correctly_imputed = 246), (f1 = 0.2578288100208768, errors = 354, changed = 814, cleaned = 1, precision = 0.2079124579124579, recall = 0.3392857142857143, imputed = 374, correctly_imputed = 246)]]
Any["format2_base1_3.jl", 0.2578288100208768, Any[(f1 = 0.2578288100208768, errors = 354, changed = 814, cleaned = 1, precision = 0.2079124579124579, recall = 0.3392857142857143, imputed = 374, correctly_imputed = 246), (f1 = 0.2578288100208768, errors = 354, changed = 814, cleaned = 1, precision = 0.2079124579124579, recall = 0.3392857142857143, imputed = 374, correctly_imputed = 246), (f1 = 0.2578288100208768, errors = 354, changed = 814, cleaned = 1, precision = 0.2079124579124579, recall = 0.3392857142857143, imputed = 374, correctly_imputed = 246)]]
Any["format2_original.jl", 0.2578288100208768, Any[(f1 = 0.2578288100208768, errors = 354, changed = 814, cleaned = 1, precision = 0.2079124579124579, recall = 0.3392857142857143, imputed = 374, correctly_imputed = 246), (f1 = 0.2578288100208768, errors = 354, changed = 814, cleaned = 1, precision = 0.2079124579124579, recall = 0.3392857142857143, imputed = 374, correctly_imputed = 246), (f1 = 0.2578288100208768, errors = 354, changed = 814, cleaned = 1, precision = 0.2079124579124579, recall = 0.3392857142857143, imputed = 374, correctly_imputed = 246)]]
