Any["format1_base1_0.jl", 0.8015761061832638, Any[(f1 = 0.8373788936347537, errors = 2608, changed = 2367, cleaned = 1983, precision = 0.8589442188501817, recall = 0.816869918699187, imputed = 2312, correctly_imputed = 2036), (f1 = 0.737445588703684, errors = 2608, changed = 2187, cleaned = 1532, precision = 0.7719493220715714, recall = 0.7058943089430895, imputed = 2312, correctly_imputed = 1941), (f1 = 0.8299038362113536, errors = 2608, changed = 2439, cleaned = 2017, precision = 0.8446642812039571, recall = 0.8156504065040651, imputed = 2312, correctly_imputed = 1996)]]
Any["format1_base1_1.jl", 0.8191514521003919, Any[(f1 = 0.798992337566915, errors = 2608, changed = 2295, cleaned = 1832, precision = 0.8261341436943781, recall = 0.7735772357723577, imputed = 2312, correctly_imputed = 1974), (f1 = 0.8190912880366821, errors = 2608, changed = 2364, cleaned = 1929, precision = 0.8404619332763046, recall = 0.7987804878048781, imputed = 2312, correctly_imputed = 2001), (f1 = 0.8393707306975782, errors = 2608, changed = 2430, cleaned = 2048, precision = 0.8551244200759174, recall = 0.8241869918699187, imputed = 2312, correctly_imputed = 2007)]]
Any["format1_base1_2.jl", 0.8107016719590435, Any[(f1 = 0.8235785953177259, errors = 2608, changed = 2336, cleaned = 1934, precision = 0.8476764199655766, recall = 0.8008130081300813, imputed = 2312, correctly_imputed = 2006), (f1 = 0.8254598662207357, errors = 2608, changed = 2336, cleaned = 1928, precision = 0.8496127366609294, recall = 0.8026422764227642, imputed = 2312, correctly_imputed = 2021), (f1 = 0.7830665543386689, errors = 2608, changed = 2264, cleaned = 1755, precision = 0.8125, recall = 0.7556910569105691, imputed = 2312, correctly_imputed = 1963)]]
Any["format1_base1_3.jl", 0.7889902242891189, Any[(f1 = 0.7984902495282029, errors = 2608, changed = 2306, cleaned = 1825, precision = 0.8245993936769164, recall = 0.7739837398373983, imputed = 2312, correctly_imputed = 1983), (f1 = 0.774746192893401, errors = 2608, changed = 2224, cleaned = 1689, precision = 0.8075396825396826, recall = 0.7445121951219512, imputed = 2312, correctly_imputed = 1974), (f1 = 0.7937342304457526, errors = 2608, changed = 2280, cleaned = 1790, precision = 0.822081881533101, recall = 0.7672764227642277, imputed = 2312, correctly_imputed = 1985)]]
Any["format1_original.jl", 0.8358147362395115, Any[(f1 = 0.8327446499065032, errors = 2608, changed = 2394, cleaned = 1994, precision = 0.8516787080322992, recall = 0.8146341463414634, imputed = 2312, correctly_imputed = 2014), (f1 = 0.8323446768654386, errors = 2608, changed = 2377, cleaned = 1999, precision = 0.8528470889315419, recall = 0.8128048780487804, imputed = 2312, correctly_imputed = 2000), (f1 = 0.8423548819465925, errors = 2608, changed = 2467, cleaned = 2077, precision = 0.8547813350073237, recall = 0.8302845528455285, imputed = 2312, correctly_imputed = 2008)]]
Any["format2_base1_0.jl", 0.8423548819465925, Any[(f1 = 0.8423548819465925, errors = 2608, changed = 2467, cleaned = 2077, precision = 0.8547813350073237, recall = 0.8302845528455285, imputed = 2312, correctly_imputed = 2008), (f1 = 0.8423548819465925, errors = 2608, changed = 2467, cleaned = 2077, precision = 0.8547813350073237, recall = 0.8302845528455285, imputed = 2312, correctly_imputed = 2008), (f1 = 0.8423548819465925, errors = 2608, changed = 2467, cleaned = 2077, precision = 0.8547813350073237, recall = 0.8302845528455285, imputed = 2312, correctly_imputed = 2008)]]
Any["format2_base1_1.jl", 0.8423548819465925, Any[(f1 = 0.8423548819465925, errors = 2608, changed = 2467, cleaned = 2077, precision = 0.8547813350073237, recall = 0.8302845528455285, imputed = 2312, correctly_imputed = 2008), (f1 = 0.8423548819465925, errors = 2608, changed = 2467, cleaned = 2077, precision = 0.8547813350073237, recall = 0.8302845528455285, imputed = 2312, correctly_imputed = 2008), (f1 = 0.8423548819465925, errors = 2608, changed = 2467, cleaned = 2077, precision = 0.8547813350073237, recall = 0.8302845528455285, imputed = 2312, correctly_imputed = 2008)]]
Any["format2_base1_2.jl", 0.8423548819465925, Any[(f1 = 0.8423548819465925, errors = 2608, changed = 2467, cleaned = 2077, precision = 0.8547813350073237, recall = 0.8302845528455285, imputed = 2312, correctly_imputed = 2008), (f1 = 0.8423548819465925, errors = 2608, changed = 2467, cleaned = 2077, precision = 0.8547813350073237, recall = 0.8302845528455285, imputed = 2312, correctly_imputed = 2008), (f1 = 0.8423548819465925, errors = 2608, changed = 2467, cleaned = 2077, precision = 0.8547813350073237, recall = 0.8302845528455285, imputed = 2312, correctly_imputed = 2008)]]
Any["format2_base1_3.jl", 0.8423548819465925, Any[(f1 = 0.8423548819465925, errors = 2608, changed = 2467, cleaned = 2077, precision = 0.8547813350073237, recall = 0.8302845528455285, imputed = 2312, correctly_imputed = 2008), (f1 = 0.8423548819465925, errors = 2608, changed = 2467, cleaned = 2077, precision = 0.8547813350073237, recall = 0.8302845528455285, imputed = 2312, correctly_imputed = 2008), (f1 = 0.8423548819465925, errors = 2608, changed = 2467, cleaned = 2077, precision = 0.8547813350073237, recall = 0.8302845528455285, imputed = 2312, correctly_imputed = 2008)]]
Any["format2_original.jl", 0.8423548819465925, Any[(f1 = 0.8423548819465925, errors = 2608, changed = 2467, cleaned = 2077, precision = 0.8547813350073237, recall = 0.8302845528455285, imputed = 2312, correctly_imputed = 2008), (f1 = 0.8423548819465925, errors = 2608, changed = 2467, cleaned = 2077, precision = 0.8547813350073237, recall = 0.8302845528455285, imputed = 2312, correctly_imputed = 2008), (f1 = 0.8423548819465925, errors = 2608, changed = 2467, cleaned = 2077, precision = 0.8547813350073237, recall = 0.8302845528455285, imputed = 2312, correctly_imputed = 2008)]]
